Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,159.860001,162.639999,159.509995,161.699997,158.154846,13120900
2022-01-04,164.309998,168.580002,164.229996,167.830002,164.150482,20195800
2022-01-05,167.820007,168.360001,163.729996,163.779999,161.149460,17539400
2022-01-06,166.910004,167.369995,163.869995,165.520004,162.861526,14047500
2022-01-07,165.669998,167.529999,165.059998,167.160004,164.475174,13913300
2022-01-10,169.070007,169.309998,165.529999,167.320007,164.632614,12922500
2022-01-11,168.259995,168.520004,166.309998,167.490005,164.799881,11854100
2022-01-12,168.460007,169.589996,167.179993,168.440002,165.734619,12568000
2022-01-13,168.339996,169.809998,167.889999,168.229996,165.527985,13623400
2022-01-14,160.759995,161.029999,156.899994,157.889999,155.354065,40158400
2022-01-18,155.779999,155.779999,150.539993,151.270004,148.840393,32324800
2022-01-19,151.570007,152.229996,148.550003,148.929993,146.537964,22380000
2022-01-20,148.990005,150.610001,147.360001,147.660004,145.288376,14860800
2022-01-21,147.500000,147.509995,144.270004,145.080002,142.749817,20705400
2022-01-24,142.279999,145.479996,139.570007,144.949997,142.621902,28471400
2022-01-25,143.649994,146.850006,140.789993,146.529999,144.176529,18915900
2022-01-26,148.720001,150.570007,145.960007,147.919998,145.544205,20709100
2022-01-27,149.419998,150.380005,144.130005,145.309998,142.976120,17536800
2022-01-28,144.190002,146.759995,142.169998,146.610001,144.255234,14117000
2022-01-31,145.639999,148.789993,144.669998,148.600006,146.213287,13985700
2022-02-01,148.690002,151.470001,148.300003,151.149994,148.722305,14584900
2022-02-02,150.500000,150.940002,148.070007,149.940002,147.531754,12441100
2022-02-03,150.000000,151.649994,148.289993,148.699997,146.311661,12474900
2022-02-04,149.100006,153.500000,148.770004,152.559998,150.109665,16654400
2022-02-07,153.270004,153.619995,150.850006,153.070007,150.611481,12572300
2022-02-08,155.000000,158.479996,154.800003,155.949997,153.445221,20411400
2022-02-09,156.589996,157.429993,155.820007,156.600006,154.084793,9131100
