Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,164.509995,168.399994,164.399994,168.210007,166.690140,3236400
2022-01-04,169.720001,174.050003,169.600006,173.610001,172.041336,4799500
2022-01-05,174.710007,176.309998,171.500000,171.759995,170.208054,4491900
2022-01-06,172.539993,173.690002,169.750000,172.899994,171.767776,2649400
2022-01-07,172.490005,175.360001,171.860001,174.380005,173.238098,3043000
2022-01-10,176.210007,176.210007,170.500000,173.740005,172.602295,4269400
2022-01-11,174.539993,175.720001,172.490005,175.380005,174.231537,2762700
2022-01-12,176.229996,176.820007,174.169998,174.470001,173.327499,3224300
2022-01-13,174.919998,176.380005,172.850006,173.289993,172.155228,3808800
2022-01-14,168.710007,168.710007,164.710007,168.399994,167.297241,6508500
2022-01-18,167.910004,168.940002,164.839996,166.169998,165.081848,4336300
2022-01-19,166.729996,166.729996,161.169998,161.389999,160.333160,3592000
2022-01-20,161.119995,164.570007,159.460007,160.919998,159.866241,4205600
2022-01-21,159.949997,161.880005,157.679993,158.740005,157.700516,3779100
2022-01-24,155.820007,159.449997,152.850006,158.929993,157.889252,5405000
2022-01-25,166.139999,174.470001,159.660004,173.110001,171.976395,13320800
2022-01-26,176.949997,179.220001,173.029999,175.320007,174.171936,8257300
2022-01-27,176.699997,178.199997,170.630005,171.899994,170.774323,3649900
2022-01-28,171.759995,177.210007,169.770004,177.059998,175.900543,4271500
2022-01-31,175.910004,180.130005,175.220001,179.820007,178.642471,5524300
2022-02-01,179.919998,184.039993,179.000000,183.539993,182.338104,3471200
2022-02-02,182.509995,184.580002,181.639999,184.160004,182.954056,2841400
2022-02-03,184.800003,185.800003,182.320007,184.039993,182.834824,3380900
2022-02-04,184.910004,188.679993,184.179993,185.850006,184.632980,4075800
2022-02-07,185.630005,188.910004,184.750000,187.869995,186.639740,3260800
2022-02-08,188.080002,194.529999,187.610001,194.000000,192.729599,5133900
2022-02-09,194.300003,198.720001,194.300003,196.399994,195.113892,4614200
2022-02-10,196.360001,198.229996,194.610001,195.509995,194.229721,4511100
2022-02-11,195.429993,197.199997,190.449997,191.809998,190.553940,4834900
2022-02-14,192.259995,194.149994,190.919998,192.350006,191.090424,3841300
2022-02-15,194.649994,198.360001,194.179993,197.979996,196.683548,4134300
2022-02-16,197.500000,199.550003,197.240005,198.380005,197.080933,4122600
2022-02-17,195.630005,197.380005,194.270004,195.710007,194.428421,3051700
2022-02-18,194.919998,197.750000,194.199997,194.880005,193.603851,2806300
2022-02-22,195.179993,196.149994,191.750000,192.440002,191.179840,3420600
2022-02-23,194.350006,194.449997,188.550003,188.949997,187.712677,3562100
2022-02-24,180.470001,188.500000,179.050003,188.350006,187.116608,5886600
2022-02-25,189.660004,194.250000,189.460007,193.710007,192.441513,5426200
2022-02-28,189.630005,195.130005,189.229996,194.539993,193.266068,5787800
2022-03-01,194.669998,194.770004,176.770004,178.059998,176.893982,8562500
2022-03-02,179.789993,182.240005,178.100006,180.309998,179.129257,4058800
2022-03-03,182.110001,183.449997,178.729996,179.889999,178.712006,3339900
2022-03-04,176.619995,176.830002,170.820007,172.949997,171.817444,5348600
2022-03-07,170.130005,170.759995,159.080002,159.130005,158.087967,7760400
2022-03-08,160.520004,166.289993,155.720001,160.050003,159.001923,7058900
2022-03-09,168.020004,170.729996,166.710007,168.649994,167.545609,4788200
2022-03-10,165.589996,170.960007,164.830002,169.600006,168.489410,3840900
2022-03-11,171.750000,172.309998,167.630005,167.899994,166.800522,3000000
2022-03-14,171.330002,174.710007,169.710007,172.789993,171.658493,4614600
2022-03-15,173.589996,178.300003,173.369995,176.039993,174.887207,3827300
2022-03-16,179.179993,182.759995,176.300003,180.610001,179.427292,5239300
2022-03-17,180.179993,187.710007,180.059998,186.970001,185.745636,6398900
2022-03-18,188.690002,191.000000,184.839996,190.720001,189.471100,8744100
2022-03-21,190.770004,191.500000,187.559998,189.089996,187.851761,3166200
2022-03-22,190.500000,194.350006,190.059998,191.330002,190.077103,3007000
2022-03-23,188.830002,189.619995,185.179993,186.020004,184.801880,3664600
2022-03-24,186.610001,189.369995,185.699997,188.889999,187.653076,2424400
2022-03-25,190.410004,191.259995,189.000000,190.279999,189.033966,1871900
2022-03-28,189.949997,189.949997,186.289993,189.699997,188.457764,3043700
