Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,48.930000,50.810001,48.919998,50.730000,49.885323,38978100
2022-01-04,51.580002,53.150002,51.520000,52.750000,51.871689,43855100
2022-01-05,52.919998,53.139999,52.000000,52.290001,51.419350,35072600
2022-01-06,53.150002,53.669998,52.660000,53.630001,52.737038,29720800
2022-01-07,53.860001,55.189999,53.799999,54.770000,53.858055,35149300
2022-01-10,55.500000,56.060001,54.480000,55.349998,54.428398,34733500
2022-01-11,55.560001,56.130001,55.230000,56.060001,55.126579,25073700
2022-01-12,56.410000,56.709999,55.759998,56.400002,55.460918,34159400
2022-01-13,56.599998,57.180000,55.759998,56.000000,55.067574,34037300
2022-01-14,56.849998,58.869999,56.389999,58.060001,57.093273,56739600
2022-01-18,57.720001,58.110001,56.509998,56.689999,55.746082,41689600
2022-01-19,57.110001,57.680000,55.470001,55.570000,54.644733,34970200
2022-01-20,55.720001,56.380001,54.910000,55.000000,54.084229,26972800
2022-01-21,54.500000,55.000000,53.130001,53.669998,52.776367,38357600
2022-01-24,52.730000,53.490002,51.180000,53.320000,52.432198,48451400
2022-01-25,52.669998,53.730000,51.549999,53.590000,52.697704,40858700
2022-01-26,53.910000,54.919998,53.430000,54.139999,53.238544,39687100
2022-01-27,54.599998,55.509998,53.230000,53.759998,52.864872,34209200
2022-01-28,53.610001,54.220001,52.770000,54.189999,53.287712,35519700
2022-01-31,53.820000,54.049999,53.029999,53.799999,52.904209,34657500
2022-02-01,54.720001,55.810001,53.990002,55.599998,54.674236,35870200
2022-02-02,55.270000,56.049999,54.959999,55.930000,54.998741,29037100
2022-02-03,55.840000,56.290001,54.730000,55.169998,54.494980,25227400
2022-02-04,56.040001,57.040001,55.470001,56.330002,55.640789,33622100
2022-02-07,56.410000,57.889999,55.910000,57.330002,56.628551,37480100
2022-02-08,58.000000,58.980000,57.799999,58.750000,58.031178,39099600
2022-02-09,58.700001,59.380001,58.340000,59.060001,58.337387,25883100
2022-02-10,59.549999,60.299999,58.799999,59.049999,58.327511,36092000
2022-02-11,58.520000,60.240002,57.910000,58.310001,57.596561,38650500
2022-02-14,58.509998,58.650002,57.180000,57.849998,57.142189,32680500
2022-02-15,59.119999,59.320000,58.090000,58.380001,57.665707,18224600
2022-02-16,57.910000,58.880001,57.549999,58.139999,57.428642,22057200
2022-02-17,57.150002,57.529999,55.759998,56.150002,55.462994,24946500
2022-02-18,56.150002,56.720001,55.369999,55.630001,54.949356,22137900
2022-02-22,55.570000,56.119999,54.700001,55.279999,54.603634,26887800
2022-02-23,55.849998,56.020000,53.759998,53.950001,53.289909,21860700
