Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,416.570007,417.839996,403.260010,408.640015,401.023010,3715700
2022-01-04,408.640015,413.609985,408.190002,412.839996,405.144684,3266500
2022-01-05,414.000000,414.220001,406.809998,407.239990,399.649078,4443200
2022-01-06,408.559998,409.070007,403.019989,405.760010,398.196686,3315100
2022-01-07,403.359985,404.089996,392.880005,393.609985,386.273132,4520700
2022-01-10,387.399994,387.589996,380.910004,387.459991,380.237762,6440000
2022-01-11,388.070007,391.839996,384.320007,386.670013,379.462524,4385400
2022-01-12,388.290009,393.450012,386.380005,389.399994,382.141602,3623300
2022-01-13,392.510010,394.309998,385.859985,386.980011,379.766754,3466300
2022-01-14,381.329987,382.010010,371.500000,372.000000,365.065979,6336200
2022-01-18,366.100006,368.089996,360.029999,366.720001,359.884369,6435200
2022-01-19,367.179993,368.700012,359.410004,359.690002,352.985413,5175100
2022-01-20,361.329987,361.850006,349.019989,349.579987,343.063843,5440600
2022-01-21,351.720001,360.089996,347.179993,349.100006,342.592834,7718400
2022-01-24,343.779999,364.380005,343.609985,363.809998,357.028625,8584300
2022-01-25,358.140015,361.519989,352.190002,358.980011,352.288666,5536700
2022-01-26,360.000000,365.899994,354.450012,357.279999,350.620361,6103300
2022-01-27,360.429993,364.119995,353.910004,356.429993,349.786163,3941000
2022-01-28,360.170013,366.720001,352.839996,366.540009,359.707733,4551300
2022-01-31,364.809998,367.410004,362.209991,366.980011,360.139526,4084600
2022-02-01,369.470001,370.690002,362.369995,368.700012,361.827484,3406800
2022-02-02,368.380005,374.670013,367.760010,373.730011,366.763733,3839300
2022-02-03,370.190002,372.119995,363.200012,364.809998,358.009979,4009700
2022-02-04,363.500000,364.670013,354.250000,359.670013,352.965790,3728100
2022-02-07,360.260010,361.799988,355.440002,357.350006,350.689026,2809300
2022-02-08,357.350006,362.980011,354.799988,361.440002,354.702789,3225100
2022-02-09,365.309998,367.459991,363.000000,364.369995,357.578186,2777500
2022-02-10,358.839996,363.000000,352.869995,355.089996,348.471161,4291800
2022-02-11,354.690002,357.339996,348.559998,350.290009,343.760620,3308700
