Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,18.129999,18.389999,17.995001,18.070000,18.070000,1380287
2022-01-04,18.600000,18.650000,18.139999,18.209999,18.209999,2498618
2022-01-05,18.129999,18.347799,17.459999,17.480000,17.480000,3046280
2022-01-06,17.600000,17.770000,17.049999,17.660000,17.660000,1665981
2022-01-07,17.570000,17.590000,16.980000,16.980000,16.980000,2317065
2022-01-10,16.690001,16.695000,16.264999,16.680000,16.680000,2489280
2022-01-11,16.620001,16.709999,16.270000,16.660000,16.660000,2342391
2022-01-12,16.830000,17.170000,16.650000,16.700001,16.700001,2035481
2022-01-13,16.680000,16.870001,16.480000,16.510000,16.510000,1821818
2022-01-14,16.330000,16.330000,15.780000,16.180000,16.180000,2323941
2022-01-18,16.200001,16.420000,16.049999,16.150000,16.150000,2296739
2022-01-19,16.280001,16.600000,16.195000,16.270000,16.270000,3012294
2022-01-20,16.209999,16.820000,15.960000,15.980000,15.980000,2409956
2022-01-21,16.230000,16.600000,15.850000,16.090000,16.090000,4330761
2022-01-24,15.750000,16.559999,15.510000,16.500000,16.500000,4753324
2022-01-25,16.145000,16.145000,15.690000,15.920000,15.920000,3561070
2022-01-26,16.090000,16.219999,15.350000,15.500000,15.500000,3736209
2022-01-27,15.720000,16.070000,15.200000,15.490000,15.490000,5468875
2022-01-28,15.500000,15.580000,14.950000,15.570000,15.570000,3423647
2022-01-31,15.450000,16.010000,15.450000,15.990000,15.990000,2302238
2022-02-01,16.120001,16.490000,15.835000,16.190001,16.190001,2016746
2022-02-02,16.690001,17.010000,16.400000,16.559999,16.559999,3304497
2022-02-03,16.290001,16.760000,16.139999,16.160000,16.160000,4318655
2022-02-04,16.150000,16.525000,16.049999,16.430000,16.430000,3134279
2022-02-07,16.500000,16.900000,16.379999,16.580000,16.580000,2844468
2022-02-08,16.549999,17.020000,16.530001,16.940001,16.940001,2972710
2022-02-09,17.160000,17.465000,17.100100,17.459999,17.459999,2192642
2022-02-10,17.160000,17.745001,17.070000,17.330000,17.330000,3903729
2022-02-11,16.330000,16.490000,15.160000,15.360000,15.360000,10584929
2022-02-14,15.360000,15.710000,15.040000,15.110000,15.110000,4569904
2022-02-15,15.270000,15.665000,15.270000,15.540000,15.540000,5166963
2022-02-16,15.420000,15.560000,15.020000,15.130000,15.130000,4124306
2022-02-17,15.000000,15.260000,14.470000,14.470000,14.470000,4340676
2022-02-18,14.490000,14.760000,14.345000,14.460000,14.460000,3225560
2022-02-22,14.300000,14.565000,14.110000,14.240000,14.240000,4862344
2022-02-23,14.330000,14.460000,13.790000,13.850000,13.850000,4310895
2022-02-24,13.420000,14.920000,13.390000,14.860000,14.860000,7291759
