Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,565.030029,567.469971,555.510010,566.710022,563.959839,2714100
2022-01-04,564.229980,568.719971,561.789978,564.229980,561.491882,2097500
2022-01-05,563.690002,565.049988,549.770020,549.919983,547.251282,2887500
2022-01-06,546.200012,553.520020,543.549988,549.799988,547.131897,2503100
2022-01-07,547.549988,548.369995,534.239990,536.179993,533.577942,2323900
2022-01-10,529.289978,530.409973,508.500000,518.799988,516.282288,4916800
2022-01-11,518.799988,522.469971,510.290009,522.030029,519.496704,2457300
2022-01-12,522.030029,530.030029,522.010010,525.799988,523.248291,1729500
2022-01-13,527.640015,529.049988,515.229980,516.880005,514.371643,2428100
2022-01-14,511.570007,512.979980,501.859985,502.989990,500.549042,3872500
2022-01-18,494.459991,495.079987,486.859985,488.070007,485.701477,3801900
2022-01-19,489.890015,496.239990,487.100006,490.160004,487.781311,2709400
2022-01-20,490.750000,499.880005,481.839996,482.820007,480.476929,2893700
2022-01-21,481.920013,494.609985,481.320007,481.609985,479.272766,3295600
2022-01-24,475.549988,489.970001,469.010010,488.899994,486.527405,4412600
2022-01-25,479.899994,482.640015,472.369995,477.320007,475.003632,3076800
2022-01-26,483.230011,493.869995,478.769989,483.470001,481.123749,3074900
2022-01-27,486.920013,495.790009,480.309998,482.519989,480.178375,2372300
2022-01-28,483.739990,492.730011,475.899994,492.429993,490.040283,1918500
2022-01-31,492.000000,506.420013,490.630005,505.130005,502.678650,2480700
2022-02-01,505.000000,509.679993,496.940002,508.410004,505.942749,2347200
2022-02-02,511.109985,523.989990,510.339996,522.020020,519.486755,2547600
2022-02-03,515.880005,526.440002,514.210022,521.770020,520.024902,2665100
2022-02-04,518.109985,522.000000,510.799988,519.770020,518.031616,2387400
2022-02-07,521.299988,522.000000,514.229980,515.890015,514.164551,1863600
2022-02-08,515.890015,523.390015,510.500000,521.150024,519.406982,1462000
2022-02-09,528.000000,534.239990,525.679993,528.830017,527.061340,2256700
2022-02-10,520.869995,524.469971,514.750000,518.479980,516.745850,2558900
2022-02-11,518.400024,521.349976,507.380005,509.670013,507.965363,2349700
2022-02-14,508.989990,511.529999,501.440002,506.559998,504.865784,1749600
2022-02-15,513.340027,516.000000,510.760010,513.919983,512.201111,1984600
2022-02-16,511.489990,514.549988,501.709991,512.400024,510.686249,1770800
2022-02-17,509.640015,518.210022,507.029999,515.010010,513.287476,2022800
2022-02-18,514.890015,517.900024,510.329987,512.669983,510.955292,2154700
2022-02-22,510.000000,514.580017,498.160004,502.179993,500.500427,2451800
2022-02-23,502.940002,507.970001,494.779999,495.260010,493.603577,2021400
2022-02-24,483.269989,506.549988,482.980011,505.579987,503.889038,2859800
2022-02-25,508.579987,518.250000,505.250000,517.489990,515.759155,2003000
2022-02-28,514.299988,519.630005,511.299988,519.250000,517.513367,2408900
