Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,413.700012,420.970001,409.709991,413.230011,413.230011,507300
2022-01-04,416.929993,422.429993,412.609985,418.739990,418.739990,598000
2022-01-05,416.619995,417.070007,401.200012,401.489990,401.489990,930700
2022-01-06,403.220001,405.149994,395.609985,400.489990,400.489990,497500
2022-01-07,398.559998,404.989990,393.630005,397.100006,397.100006,523900
2022-01-10,392.540009,393.170013,369.500000,381.040009,381.040009,945900
2022-01-11,382.149994,387.000000,372.000000,384.440002,384.440002,703400
2022-01-12,386.570007,390.559998,380.109985,384.160004,384.160004,364300
2022-01-13,384.160004,388.730011,376.679993,378.149994,378.149994,691800
2022-01-14,377.450012,377.450012,364.500000,374.480011,374.480011,903400
2022-01-18,368.380005,377.000000,365.970001,372.970001,372.970001,572800
2022-01-19,374.820007,381.089996,371.470001,371.679993,371.679993,741200
2022-01-20,373.489990,379.489990,357.269989,359.109985,359.109985,717300
2022-01-21,357.019989,360.230011,348.630005,349.420013,349.420013,1139900
2022-01-24,340.250000,365.760010,336.290009,364.839996,364.839996,1110400
2022-01-25,358.369995,359.390015,347.070007,352.739990,352.739990,823900
2022-01-26,361.600006,365.630005,350.299988,353.809998,353.809998,664500
2022-01-27,359.350006,363.029999,348.459991,351.579987,351.579987,673700
2022-01-28,351.679993,359.100006,346.929993,358.829987,358.829987,537800
2022-01-31,356.459991,364.850006,356.329987,363.739990,363.739990,641200
2022-02-01,364.369995,373.410004,361.839996,372.320007,372.320007,500700
2022-02-02,374.690002,375.470001,366.399994,371.690002,371.690002,467800
2022-02-03,366.239990,373.010010,363.790009,364.760010,364.760010,436600
2022-02-04,363.730011,369.619995,359.010010,365.730011,365.730011,556200
2022-02-07,366.250000,372.230011,361.950012,364.260010,364.260010,426300
2022-02-08,367.329987,369.309998,357.809998,364.230011,364.230011,808400
2022-02-09,367.640015,376.820007,367.079987,376.040009,376.040009,778100
2022-02-10,371.079987,383.220001,370.859985,374.010010,374.010010,711600
2022-02-11,373.890015,375.920013,359.720001,362.170013,362.170013,794500
