Country Name,GDP growth (annual %),GDP per capita (current US$),GDP Size (current US$)
Kosovo,4.067627014,5960.158205,10468219225
Barbados,4.09382011,23804.02499,6720733200
Algeria,4.1,5364.02795,2.48E+11
Chad,4.12231962,680.6398779,13149325362
Kiribati,4.124590543,2106.760004,279208903.3
Namibia,4.159985755,4168.285211,12351025067
Curacao,4.202,22192.4453,3281419347
Somalia,4.216384326,597.4588546,10968517090
Aruba,4.263719415,33984.79062,3648573136
Cayman Islands,4.359675957,97749.5079,7139428558
Nicaragua,4.569223171,2612.870662,17829218219
Senegal,4.584061405,1706.44218,30848333084
Mali,4.656775991,869.2702343,20661794596
Liberia,4.683756888,771.8871421,4240000000
Dominica,4.712238185,9832.996431,653992592.6
Paraguay,4.714124079,6276.351139,42956263544
Maldives,4.72639189,12530.36024,6590894302
"Gambia, The",4.797508952,888.1574077,2396111022
Small states,4.801103454,15086.09155,3.06E+11
Cambodia,4.960066589,2429.748535,42335646896
Eswatini,5.014904713,3610.608797,4442875788
Iceland,5.03717944,79636.95486,31325116556
Monaco,5.043382592,256580.5151,9995350547
"Iran, Islamic Rep.",5.044890511,4465.63767,4.05E+11
Viet Nam,5.046430736,4282.088517,4.30E+11
Indonesia,5.048105771,4876.314327,1.37E+12
Tanzania,5.069523532,1224.489624,79062403821
Kazakhstan,5.1,12918.86613,2.63E+11
Turkiye,5.111168185,13105.65857,1.12E+12
Costa Rica,5.111921832,16942.02681,86497941439
Guinea-Bissau,5.199268297,951.2427483,2048348108
China,5.249557864,12614.06174,1.78E+13
Ukraine,5.324335374,5069.703125,1.79E+11
Zimbabwe,5.336730495,2156.034004,35231367886
Uganda,5.336972955,1002.309139,48768955863
Zambia,5.367942855,1330.727806,27577956471
Pacific island small states,5.405280585,4146.436206,11150695760
Mozambique,5.436859122,622.9856193,20954220984
Cabo Verde,5.475435916,4850.984158,2533819406
Philippines,5.545851171,3804.87258,4.37E+11
Kenya,5.555873013,1952.304579,1.08E+11
Sierra Leone,5.710021898,757.858336,6411869546
Bangladesh,5.77511237,2551.017727,4.37E+11
St. Vincent and the Grenadines,6.016109145,10520.44415,1065962963
Kyrgyz Republic,6.151391837,1970.15781,13987627909
Cote d'Ivoire,6.2,2530.846593,78875489245
